1;53.870373352856554, 25.296776235365854;Лида, пер. Фурманова, д.10;;19.12.2016;ГЛХУ «Лидский лесхоз»
2;;Горни, ул. Зелёная, д.9;;19.12.2016;ГЛХУ «Лидский лесхоз» Лидское лесничество
3;;Малейковщизна, ул. Лесная, д.5;;19.12.2016;ГЛХУ «Лидский лесхоз» Бердовское лесничество
4;;Дитрики, ул. Молодежная, д.1а;;19.12.2016;ГЛХУ «Лидский лесхоз» Фальковичское лесничество
5;;Ваверка, ул. Лидская, д.7а/2;;19.12.2016;ГЛХУ «Лидский лесхоз» Ваверское лесничество
6;;Бискупцы, д.15;;19.12.2016;ГЛХУ «Лидский лесхоз» Докудовское лесничество
7;53.878682737018586, 25.27945684538463;Лида, ул. Варшавская, д.54;;19.12.2016;ООО «Магазин № 17»
8;53.87895151768601, 25.32913835914633;Лида, ул. Лётная, д.4;около универсама «Потсдам»;20.12.2016;УКП ТЦ «Потсдам»
9;53.899133698638174, 25.260644705640246;Лида, ул. Тухачевского, д.59;около магазина «Западный»;20.12.2016;УКП ТЦ «Потсдам»
10;53.892797553785236, 25.273238146341466;Лида, ул. Крупской, д.166;около магазина Северный»;20.12.2016;УКП ТЦ «Потсдам»
11;53.89189675223913, 25.295157213262197;Лида, ул. 7-го Ноября, д.13/1;рынок «Панорама»;20.12.2016;ОДО «Атлантик-Фиш»
12;53.88468590257979, 25.30240567560976;Лида, ул. Комсомольская, д.13;около магазина №58 «Вектор»;20.12.2016;ОАО ТПФ «Лида»
13;;Берёзовка, ул. Корзюка, д.3;;20.12.2016;ГЛХУ «Новогрудский лесхоз» Берёзовское лесничество
14;;Берёзовка, ул. Новогрудская, д.20;;20.12.2016;ГЛХУ «Новогрудский лесхоз» Извенское лесничество)
15;53.88299526468849, 25.302175117987804;Лида, ул. Комсомольская, д.26;рынок;20.12.2016;Лидский филиал Гродненского ОблПО
16;53.903923109893604, 25.259067385594516;Лида, ул. Гастелло, д.55;около магазина «Алми»;19.12.2016;ЧТУП «Цветочная усадьба»
